Día,Icono Sugerido,Recorte / Concepto
01 Sep,🏠 / 🧳 Maleta / Casa,Recorte a estudiantes refugiados y becas de emergencia: Desahucio habitacional y retirada de ayudas.
02 Sep,🩺 / 🎀 Estetoscopio / Caza Cáncer,Recorte en salud: Suspensión de campañas de prevención de cáncer (mama/cérvix) y revisiones.
03 Sep,👥 / 🚫 Aforo Lleno / Silla Vacia,Recorte en espacio: Aulas masificadas (hasta 135 alumnos) y falta de puestos de estudio.
04 Sep,🚨 / 🛡️ Escudo Roto / Cámara Táchada,"Recorte en seguridad: Reducción de vigilancia, eliminación del turno de día y aumento de robos."
05 Sep,♿ / 📉 Silla de Ruedas / Gráfica Descendente,Recorte en inclusión: Tijeretazo de más del 80% en las reducciones docentes (RAD) por discapacidad.
06 Sep,🌡️ / ❄️ Termómetro en Rojo / Aire Acondicionado,Recortes en mantenimiento: Fallos y apagones de climatización en las facultades durante todo el año.
07 Sep,📚 / ⏳ Reloj de Arena / Pizarra Llena,Recorte de RAD al PDI: Eliminación de reducciones por investigación/tesis y sobrecarga lectiva a 240h.
08 Sep,🧪 / 🔬 Probeta Vacía / Microscopio,Recortes en laboratorios: Presupuestos a la mitad en material de prácticas y fin de salidas de campo.
09 Sep,🎓 / 🔒 Toga / Candado,Recorte en promociones: Bloqueo a la Cátedra de más de 100 docentes acreditados.
10 Sep,🧹 / ⚠️ Cubo de Fregar / Señal de Riesgo,"Recorte en limpieza: Falta de personal, zonas insalubres e incumplimiento de pliegos por las contratas."
11 Sep,🌧️ / 🏗️ Gotera / Obras Paradas,"Recorte en infraestructuras: Inundaciones en edificios nuevos (Psicología), goteras y obras congeladas."
12 Sep,🛑 / 📄 Señal de Stop / Contrato,Recorte en estabilización joven: Trabas para la promoción de PDI Ayudante Doctor a PPL.
13 Sep,🗄️ / 👤 Archivador / Vacante,Recorte en PTGAS: Bajas y jubilaciones no cubiertas; asunción de funciones superiores gratis.
14 Sep,💸 / 🔬 Moneda Tachada / Investigador,Recorte salarial en investigación: Congelación salarial predoctoral y retrasos de más de 1 año.
15 Sep,📖 / ✂️ Libro Tijareteado,Recorte en bibliotecas: Tijeretazo del 80% en compra de libros/revistas y cierre de salas 24h.
16 Sep,💶 / ✈️ Factura / Avión Tachado,Recorte en el Plan Propio: Impago de complementos autonómicos y falta de fondos para congresos.
17 Sep,✊ / 🏛️ Puño Levantado / Universidad,"ORGULLO UNIVERSITARIO: A pesar de los recortes, la comunidad sostiene la UMA. ¡Todos a la concentración!"
